VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,02/04/2020 01:34:19 AM,02/04/2020 01:45:57 AM,N,1,210,149,1,2.3,10.5,0.5,0.5,0,0,,0.3,11.8,1,1,0
2,02/04/2020 01:34:21 AM,02/04/2020 01:39:24 AM,N,1,166,151,1,1.14,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 01:35:00 AM,02/04/2020 01:52:53 AM,N,1,210,227,1,9.33,27.5,0.5,0.5,2,0,,0.3,30.8,1,1,0
2,02/04/2020 01:37:01 AM,02/04/2020 01:49:17 AM,N,1,74,116,1,2.99,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,02/04/2020 01:37:04 AM,02/04/2020 01:41:00 AM,N,1,95,95,5,0.74,5,0.5,0.5,1.89,0,,0.3,8.19,1,1,0
2,02/04/2020 01:37:08 AM,02/04/2020 01:39:31 AM,N,1,82,82,1,0.3,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,02/04/2020 01:37:16 AM,02/04/2020 01:42:00 AM,N,1,41,152,1,0.76,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
1,02/04/2020 01:41:09 AM,02/04/2020 01:59:15 AM,N,1,127,100,1,10,29.5,3.25,0.5,3,0,,0.3,36.55,1,1,2.75
2,02/04/2020 01:41:33 AM,02/04/2020 01:46:24 AM,N,1,41,24,1,0.6,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,02/04/2020 01:41:49 AM,02/04/2020 01:48:21 AM,N,1,260,157,1,1.17,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,02/04/2020 01:41:57 AM,02/04/2020 01:47:26 AM,N,1,82,82,1,1.56,7,0.5,0.5,1.66,0,,0.3,9.96,1,1,0
2,02/04/2020 01:42:41 AM,02/04/2020 01:47:59 AM,N,1,41,151,1,1.04,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 01:42:47 AM,02/04/2020 01:47:43 AM,N,1,129,173,2,0.85,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,02/04/2020 01:43:42 AM,02/04/2020 01:47:44 AM,N,1,82,56,1,0.95,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,0
2,02/04/2020 01:45:12 AM,02/04/2020 01:45:17 AM,N,5,157,157,1,0.02,180,0,0,0,0,,0.3,180.3,2,2,0
2,02/04/2020 01:45:44 AM,02/04/2020 01:52:53 AM,N,1,129,129,1,1.44,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/04/2020 01:47:15 AM,02/04/2020 01:53:50 AM,N,1,75,41,1,1.44,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/04/2020 01:47:25 AM,02/04/2020 01:47:30 AM,N,5,244,244,1,0,45,0,0,1,0,,0,46,1,2,0
2,02/04/2020 01:47:41 AM,02/04/2020 02:03:33 AM,N,1,129,226,1,2.55,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
2,02/04/2020 01:47:49 AM,02/04/2020 02:07:10 AM,N,1,82,161,1,5.37,19,0.5,0.5,0,0,,0.3,23.05,2,1,2.75
2,02/04/2020 01:48:05 AM,02/04/2020 01:57:27 AM,N,1,7,179,2,1.36,8,0.5,0.5,0.1,0,,0.3,9.4,1,1,0
2,02/04/2020 01:48:24 AM,02/04/2020 01:56:02 AM,N,1,75,24,1,1.73,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
1,02/04/2020 01:48:45 AM,02/04/2020 01:57:00 AM,N,1,82,82,1,1.8,8.5,0.5,0.5,3,0,,0.3,12.8,1,1,0
2,02/04/2020 01:50:41 AM,02/04/2020 01:51:09 AM,N,1,179,179,1,0.03,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
2,02/04/2020 01:51:30 AM,02/04/2020 01:56:55 AM,N,1,41,42,1,0.92,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 01:52:22 AM,02/04/2020 01:57:00 AM,N,1,244,244,2,0.58,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,02/04/2020 01:52:40 AM,02/04/2020 02:02:17 AM,N,1,82,197,1,5.84,17.5,0.5,0.5,0,0,,0.3,18.8,1,1,0
2,02/04/2020 01:53:12 AM,02/04/2020 01:56:55 AM,N,1,95,95,1,0.7,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1,0
2,02/04/2020 01:53:20 AM,02/04/2020 02:02:53 AM,N,1,41,168,1,2.23,9.5,0.5,0.5,0,0,,0.3,10.8,1,1,0
